year,month,district,rainfall_mm,duration_days,main_cause,severity,latitude,longitude,land_use,curve_number,runoff_mm,flood_depth_m,risk_zone,flow_dir,flow_acc
2000,1,Chennai,357.3,6,Cyclone,Medium,13.0827,80.2707,Water,94,335.86,0.218,Low,6,186
2000,1,Coimbatore,355.9,3,Dam Release,Medium,11.0168,76.9558,Urban,79,281.16,0.153,Low,8,3289
2000,1,Madurai,93.0,10,Heavy Rainfall,High,9.9252,78.1198,Water,94,87.42,0.039,Low,2,2615
2000,1,Trichy,123.7,5,River Overflow,Medium,10.7905,78.7047,Agriculture,67,82.88,0.048,Low,3,616
2000,1,Salem,173.3,2,Urban Drainage Failure,Low,11.6643,78.146,Barren,81,140.37,0.064,Low,5,3624
2000,1,Erode,220.7,8,River Overflow,High,11.341,77.7172,Urban,79,174.35,0.113,Low,1,1922
2000,1,Tirunelveli,287.4,10,Dam Release,High,8.7139,77.7567,Agriculture,67,192.56,0.114,Low,8,4898
2000,1,Thoothukudi,556.2,3,Heavy Rainfall,High,8.7642,78.1348,Urban,79,439.4,0.215,Low,6,2376
2000,1,Vellore,484.8,2,River Overflow,High,12.9165,79.1325,Water,94,455.71,0.281,Low,7,2714
2000,1,Kanchipuram,358.5,5,Dam Release,Medium,12.8342,79.7036,Urban,79,283.22,0.145,Low,1,2958
2000,1,Tiruvallur,381.3,9,Dam Release,High,13.143,79.9089,Forest,74,282.16,0.163,Low,5,3131
2000,1,Thanjavur,391.1,10,Dam Release,High,10.7867,79.1378,Barren,81,316.79,0.126,Low,1,2377
2000,1,Nagapattinam,540.2,9,River Overflow,High,10.766,79.8424,Barren,81,437.56,0.227,Low,7,3874
2000,1,Cuddalore,537.3,2,Dam Release,High,11.7447,79.768,Agriculture,67,359.99,0.24,Low,6,3084
2000,1,Villupuram,298.1,5,River Overflow,Medium,11.9369,79.4873,Urban,79,235.5,0.161,Low,5,2042
2000,1,Kanyakumari,279.8,6,Cyclone,Medium,8.0883,77.5385,Urban,79,221.04,0.102,Low,7,562
2000,1,Dindigul,182.6,5,Dam Release,Medium,10.3673,77.9803,Water,94,171.64,0.085,Low,7,3596
2000,1,Karur,98.5,8,Heavy Rainfall,High,10.9601,78.0766,Urban,79,77.82,0.043,Low,6,2624
2000,1,Namakkal,232.5,10,River Overflow,High,11.2194,78.1674,Urban,79,183.68,0.064,Low,3,374
2000,1,Krishnagiri,71.5,4,Cyclone,Low,12.5277,78.2144,Forest,74,52.91,0.033,Low,7,2520
2000,1,Dharmapuri,216.6,3,Cyclone,Medium,12.1277,78.1579,Agriculture,67,145.12,0.066,Low,1,2665
2000,2,Chennai,87.7,5,Dam Release,Medium,13.0827,80.2707,Urban,79,69.28,0.042,Low,8,2095
2000,2,Coimbatore,324.8,1,River Overflow,Medium,11.0168,76.9558,Forest,74,240.35,0.094,Low,6,2608
2000,2,Madurai,86.8,9,Heavy Rainfall,High,9.9252,78.1198,Water,94,81.59,0.034,Low,7,2290
2000,2,Trichy,471.4,6,Dam Release,High,10.7905,78.7047,Barren,81,381.83,0.207,Low,5,4020
2000,2,Salem,229.1,10,Cyclone,High,11.6643,78.146,Barren,81,185.57,0.096,Low,5,3262
2000,2,Erode,285.1,9,Dam Release,High,11.341,77.7172,Urban,79,225.23,0.076,Low,4,4764
2000,2,Tirunelveli,193.6,2,Urban Drainage Failure,Low,8.7139,77.7567,Forest,74,143.26,0.095,Low,7,2970
2000,2,Thoothukudi,317.1,1,Cyclone,Medium,8.7642,78.1348,Urban,79,250.51,0.154,Low,7,698
2000,2,Vellore,390.3,3,Dam Release,Medium,12.9165,79.1325,Agriculture,67,261.5,0.119,Low,4,3963
2000,2,Kanchipuram,179.1,5,River Overflow,Medium,12.8342,79.7036,Agriculture,67,120.0,0.08,Low,8,3593
2000,2,Tiruvallur,416.6,10,Urban Drainage Failure,High,13.143,79.9089,Agriculture,67,279.12,0.088,Low,1,921
2000,2,Thanjavur,322.8,6,Cyclone,Medium,10.7867,79.1378,Forest,74,238.87,0.147,Low,1,1233
2000,2,Nagapattinam,449.2,4,River Overflow,High,10.766,79.8424,Barren,81,363.85,0.255,Low,3,1247
2000,2,Cuddalore,502.3,9,Heavy Rainfall,High,11.7447,79.768,Urban,79,396.82,0.215,Low,2,2238
2000,2,Villupuram,88.8,3,Cyclone,Low,11.9369,79.4873,Urban,79,70.15,0.045,Low,5,1194
2000,2,Kanyakumari,420.1,10,Cyclone,High,8.0883,77.5385,Water,94,394.89,0.223,Low,8,3777
2000,2,Dindigul,200.4,2,River Overflow,Medium,10.3673,77.9803,Agriculture,67,134.27,0.089,Low,8,3417
2000,2,Karur,148.3,7,Urban Drainage Failure,Medium,10.9601,78.0766,Barren,81,120.12,0.07,Low,4,1359
2000,2,Namakkal,104.3,5,River Overflow,Medium,11.2194,78.1674,Barren,81,84.48,0.055,Low,4,3953
2000,2,Krishnagiri,176.8,8,Urban Drainage Failure,High,12.5277,78.2144,Urban,79,139.67,0.049,Low,5,8
2000,2,Dharmapuri,294.5,10,Heavy Rainfall,High,12.1277,78.1579,Barren,81,238.54,0.131,Low,8,3442
2000,3,Chennai,494.6,6,Urban Drainage Failure,High,13.0827,80.2707,Urban,79,390.73,0.198,Low,5,855
2000,3,Coimbatore,501.7,3,River Overflow,High,11.0168,76.9558,Water,94,471.6,0.178,Low,3,290
2000,3,Madurai,306.5,4,Cyclone,Medium,9.9252,78.1198,Water,94,288.11,0.178,Low,2,2391
2000,3,Trichy,507.0,5,River Overflow,High,10.7905,78.7047,Forest,74,375.18,0.257,Low,2,405
2000,3,Salem,336.0,6,Dam Release,Medium,11.6643,78.146,Agriculture,67,225.12,0.108,Low,5,3036
2000,3,Erode,493.5,1,Urban Drainage Failure,High,11.341,77.7172,Forest,74,365.19,0.129,Low,1,2582
2000,3,Tirunelveli,237.1,4,Urban Drainage Failure,Medium,8.7139,77.7567,Agriculture,67,158.86,0.067,Low,8,2347
2000,3,Thoothukudi,182.7,9,Cyclone,High,8.7642,78.1348,Agriculture,67,122.41,0.072,Low,2,831
2000,3,Vellore,579.5,6,Heavy Rainfall,High,12.9165,79.1325,Urban,79,457.8,0.239,Low,7,3536
2000,3,Kanchipuram,376.0,9,Urban Drainage Failure,High,12.8342,79.7036,Urban,79,297.04,0.115,Low,6,4410
2000,3,Tiruvallur,104.5,8,River Overflow,High,13.143,79.9089,Urban,79,82.56,0.041,Low,6,1599
2000,3,Thanjavur,577.1,1,Urban Drainage Failure,High,10.7867,79.1378,Forest,74,427.05,0.143,Low,8,2514
2000,3,Nagapattinam,472.9,2,Urban Drainage Failure,High,10.766,79.8424,Water,94,444.53,0.186,Low,2,2593
2000,3,Cuddalore,305.5,6,Heavy Rainfall,Medium,11.7447,79.768,Forest,74,226.07,0.131,Low,6,2
2000,3,Villupuram,245.6,1,Dam Release,Medium,11.9369,79.4873,Water,94,230.86,0.088,Low,7,3196
2000,3,Kanyakumari,327.7,8,Urban Drainage Failure,High,8.0883,77.5385,Forest,74,242.5,0.151,Low,6,2663
2000,3,Dindigul,353.3,2,Heavy Rainfall,Medium,10.3673,77.9803,Agriculture,67,236.71,0.149,Low,3,467
2000,3,Karur,585.2,3,Cyclone,High,10.9601,78.0766,Urban,79,462.31,0.169,Low,6,1085
2000,3,Namakkal,356.1,10,Heavy Rainfall,High,11.2194,78.1674,Urban,79,281.32,0.15,Low,2,454
2000,3,Krishnagiri,298.3,4,Cyclone,Medium,12.5277,78.2144,Agriculture,67,199.86,0.092,Low,2,1487
2000,3,Dharmapuri,62.5,5,Urban Drainage Failure,Medium,12.1277,78.1579,Urban,79,49.38,0.032,Low,1,4478
2000,4,Chennai,414.8,3,Urban Drainage Failure,High,13.0827,80.2707,Barren,81,335.99,0.152,Low,4,2821
2000,4,Coimbatore,253.0,9,River Overflow,High,11.0168,76.9558,Forest,74,187.22,0.082,Low,8,1524
2000,4,Madurai,498.9,8,Heavy Rainfall,High,9.9252,78.1198,Barren,81,404.11,0.161,Low,3,4058
2000,4,Trichy,518.8,8,Heavy Rainfall,High,10.7905,78.7047,Forest,74,383.91,0.205,Low,3,2455
2000,4,Salem,317.5,5,Heavy Rainfall,Medium,11.6643,78.146,Urban,79,250.82,0.146,Low,2,2373
2000,4,Erode,222.1,3,Heavy Rainfall,Medium,11.341,77.7172,Agriculture,67,148.81,0.069,Low,8,3850
2000,4,Tirunelveli,554.9,6,Cyclone,High,8.7139,77.7567,Urban,79,438.37,0.199,Low,6,3187
2000,4,Thoothukudi,470.9,6,Urban Drainage Failure,High,8.7642,78.1348,Forest,74,348.47,0.13,Low,8,836
2000,4,Vellore,365.8,7,Urban Drainage Failure,Medium,12.9165,79.1325,Urban,79,288.98,0.188,Low,1,250
2000,4,Kanchipuram,170.7,1,Heavy Rainfall,Low,12.8342,79.7036,Forest,74,126.32,0.054,Low,8,3063
2000,4,Tiruvallur,104.5,5,Heavy Rainfall,Medium,13.143,79.9089,Barren,81,84.65,0.025,Low,2,4972
2000,4,Thanjavur,153.0,10,Urban Drainage Failure,High,10.7867,79.1378,Agriculture,67,102.51,0.063,Low,7,1156
2000,4,Nagapattinam,336.5,10,Heavy Rainfall,High,10.766,79.8424,Agriculture,67,225.46,0.128,Low,6,1154
2000,4,Cuddalore,229.9,4,River Overflow,Medium,11.7447,79.768,Agriculture,67,154.03,0.073,Low,1,4620
2000,4,Villupuram,376.5,9,Dam Release,High,11.9369,79.4873,Water,94,353.91,0.155,Low,5,1028
2000,4,Kanyakumari,148.8,1,Dam Release,Low,8.0883,77.5385,Agriculture,67,99.7,0.068,Low,2,4349
2000,4,Dindigul,438.8,5,Dam Release,High,10.3673,77.9803,Urban,79,346.65,0.238,Low,3,4886
2000,4,Karur,386.8,3,Heavy Rainfall,Medium,10.9601,78.0766,Forest,74,286.23,0.147,Low,4,4060
2000,4,Namakkal,535.5,3,Heavy Rainfall,High,11.2194,78.1674,Forest,74,396.27,0.161,Low,1,746
2000,4,Krishnagiri,215.8,1,Urban Drainage Failure,Medium,12.5277,78.2144,Water,94,202.85,0.114,Low,2,1552
2000,4,Dharmapuri,236.0,2,Heavy Rainfall,Medium,12.1277,78.1579,Agriculture,67,158.12,0.107,Low,7,1014
2000,5,Chennai,108.8,9,Urban Drainage Failure,High,13.0827,80.2707,Forest,74,80.51,0.035,Low,7,4195
2000,5,Coimbatore,332.9,9,River Overflow,High,11.0168,76.9558,Urban,79,262.99,0.143,Low,1,142
2000,5,Madurai,415.4,7,Urban Drainage Failure,High,9.9252,78.1198,Water,94,390.48,0.222,Low,2,2153
2000,5,Trichy,312.8,4,Cyclone,Medium,10.7905,78.7047,Water,94,294.03,0.149,Low,7,2845
2000,5,Salem,308.2,10,River Overflow,High,11.6643,78.146,Water,94,289.71,0.105,Low,3,2419
2000,5,Erode,283.9,7,Cyclone,Medium,11.341,77.7172,Barren,81,229.96,0.113,Low,2,4394
